id,name,now_cost,position,team,goals_scored,minutes,points_per_game_rank_type,transfers_in_event,web_name,assists,bps,status,ict_index,cost_change_event,penalties_order,news,points_per_game_rank,expected_goals_conceded,cost_change_start_fall,total_points,transfers_out,red_cards,starts,cost_change_event_fall,expected_assists,now_cost_rank_type,selected_rank,expected_goal_involvements_per_90,goals_conceded_per_90,expected_goal_involvements,bonus,threat_rank_type,creativity_rank,expected_goals_conceded_per_90,news_added,creativity,dreamteam_count,form_rank_type,corners_and_indirect_freekicks_order,selected_rank_type,cost_change_start,influence_rank,starts_per_90,region,threat_rank,influence_rank_type,saves_per_90,clean_sheets,goals_conceded,ict_index_rank,saves,form,expected_goals_per_90,chance_of_playing_this_round,yellow_cards,clean_sheets_per_90,penalties_missed,value_form,direct_freekicks_order,penalties_saved,chance_of_playing_next_round,expected_goals,expected_assists_per_90,selected_by_percent,in_dreamteam,threat,ep_this,ict_index_rank_type,value_season,own_goals,ep_next,points_per_game,now_cost_rank,event_points,influence,transfers_in,transfers_out_event,creativity_rank_type,form_rank
1,Fábio Ferreira Vieira,54,MID,Arsenal,0,0,301,0,Fábio Vieira,0,0,u,0.0,0,,Has joined Portuguese side FC Porto on loan for the 2024/25 season,659,0.00,1,0,2704,0,0,0,0.00,82,626,0.0,0.0,0.00,0,299,659,0.0,2024-08-29T11:06:25.241953Z,0.0,0,288,,278,-1,660,0.0,,656,301,0.0,0,0,660,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.0,False,0.0,0.0,301,0.0,0,0.0,0.0,137,0,0.0,439,9,301,640
2,Gabriel Fernando de Jesus,68,FWD,Arsenal,0,112,45,548,G.Jesus,0,27,a,11.5,0,,,436,1.33,2,5,214530,0,1,0,0.07,14,210,0.6,1.61,0.74,0,31,252,1.07,2024-08-25T11:00:05.312580Z,35.2,0,37,,36,-2,359,0.8,30.0,151,35,0.0,0,2,289,0,0.7,0.54,100.0,3,0.0,0,0.1,,0,100.0,0.67,0.06,0.9,False,64.0,1.7,31,0.7,0,1.2,0.6,32,1,17.0,54746,2025,29,307
3,Gabriel dos Santos Magalhães,62,DEF,Arsenal,2,863,6,16994,Gabriel,0,152,a,46.3,0,,,41,10.19,-2,43,1245247,0,10,0,0.25,4,14,0.19,1.04,1.74,4,2,206,1.06,2024-10-27T22:00:05.718030Z,52.7,1,62,,5,2,35,1.04,30.0,48,10,0.0,3,10,57,0,1.3,0.16,75.0,1,0.31,0,0.2,,0,100.0,1.49,0.03,22.4,False,172.0,1.7,9,6.9,0,1.8,4.3,68,2,238.4,2127527,52986,53,221
4,Kai Havertz,81,FWD,Arsenal,4,900,11,6924,Havertz,1,167,a,70.4,0,3.0,,31,10.65,-1,45,1988165,0,10,0,1.11,4,23,0.56,1.1,5.61,7,3,96,1.06,2024-10-07T17:00:06.956493Z,124.2,1,30,,6,1,49,1.0,80.0,6,6,0.0,3,11,17,0,1.7,0.45,100.0,1,0.3,0,0.2,,0,100.0,4.50,0.11,14.3,False,357.0,2.7,5,5.6,0,2.2,4.5,12,1,222.8,1970876,111143,5,192
5,Karl Hein,40,GKP,Arsenal,0,0,53,0,Hein,0,0,u,0.0,0,,Loaned to Real Valladolid,488,0.00,0,0,3548,0,0,0,0.00,65,545,0.0,0.0,0.00,0,27,468,0.0,2024-08-14T08:31:46.556082Z,0.0,0,46,,66,0,482,0.0,,431,53,0.0,0,0,485,0,0.0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.00,0.0,0.0,False,0.0,0.0,53,0.0,0,0.0,0.0,631,0,0.0,0,41,35,403
6,Jurriën Timber,55,DEF,Arsenal,0,593,41,3714,J.Timber,1,86,a,27.0,0,,,148,6.58,0,22,202306,0,7,0,0.30,13,177,0.1,0.91,0.62,0,52,92,1.0,2024-10-04T13:30:05.569185Z,125.6,0,75,,66,0,187,1.06,152.0,207,74,0.0,2,6,171,0,1.0,0.05,100.0,3,0.3,0,0.2,,0,100.0,0.32,0.05,1.4,False,41.0,2.0,46,4.0,0,1.5,2.8,122,1,105.4,232451,4272,22,250
7,Jorge Luiz Frello Filho,48,MID,Arsenal,0,154,148,205,Jorginho,0,16,a,2.7,0,,,310,1.10,2,4,33075,0,2,0,0.15,196,336,0.11,0.58,0.19,0,207,285,0.64,,21.6,0,251,,116,-2,410,1.17,106.0,380,200,0.0,1,1,382,0,0.0,0.02,,2,0.58,0,0.0,,0,,0.04,0.09,0.2,False,1.0,1.0,188,0.8,0,0.5,1.3,296,0,4.4,18928,708,164,582
8,Jakub Kiwior,48,DEF,Arsenal,0,96,141,167,Kiwior,0,-3,a,1.7,0,,,423,3.17,2,3,16346,0,0,0,0.00,38,396,0.0,3.75,0.00,0,217,397,2.97,,1.0,0,114,,144,-2,364,0.0,172.0,611,128,0.0,0,4,404,0,0.3,0.0,,0,0.0,0,0.1,,0,,0.00,0.0,0.2,False,0.0,1.3,135,0.6,0,0.8,0.8,318,0,16.2,7812,466,138,330
9,Gabriel Martinelli Silva,70,MID,Arsenal,2,608,24,5131,Martinelli,2,135,a,54.9,0,,,56,7.30,0,39,448687,0,7,0,1.85,15,91,0.5,1.18,3.38,3,19,53,1.08,2024-10-18T16:00:06.884775Z,168.4,1,92,,26,0,95,1.04,30.0,32,31,0.0,3,8,40,0,1.7,0.23,100.0,0,0.44,0,0.2,,0,100.0,1.53,0.27,3.7,False,213.0,2.7,28,5.6,0,2.2,3.9,26,2,168.2,508333,25968,44,191
12,Ethan Nwaneri,45,MID,Arsenal,0,52,171,1658,Nwaneri,0,18,a,5.0,0,,,364,0.17,0,5,30327,0,0,0,0.17,263,301,0.38,0.0,0.22,0,146,314,0.29,,13.6,0,113,,100,0,367,0.0,241.0,261,174,0.0,0,0,349,0,1.0,0.09,,0,0.0,0,0.2,,0,,0.05,0.29,0.3,False,20.0,2.0,173,1.1,0,1.5,1.0,432,1,15.8,39034,1046,180,236
